131,61,380,63,380,102,131,100
854,1018,1073,1017,1073,1053,855,1055
883,514,1060,513,1060,547,883,549
356,286,442,276,445,302,359,312
683,269,764,268,765,290,684,291
866,23,937,23,937,38,866,39
964,20,1058,25,1058,41,963,36
171,993,252,994,252,1023,171,1023
210,942,310,941,310,973,210,974
1468,251,1567,257,1565,285,1466,279
1176,254,1302,266,1299,293,1173,281
1034,255,1099,257,1098,284,1033,282
1514,358,1566,359,1565,376,1514,374
820,259,874,258,874,275,820,276
-5,566,63,534,71,552,2,584
1671,988,1716,987,1717,1020,1671,1020
309,297,360,286,365,308,314,319
171,945,203,944,204,972,172,972
