74,71,292,60,294,100,76,111
844,1018,1074,1019,1074,1057,844,1055
496,450,571,447,571,465,497,467
33,373,89,345,99,366,42,393
225,288,278,264,285,281,232,305
885,458,1017,457,1017,485,885,487
167,318,226,289,233,303,175,332
594,151,686,155,686,177,593,173
1025,460,1116,461,1116,483,1025,482
1345,443,1424,444,1424,463,1345,462
215,936,346,935,346,962,215,963
216,972,291,971,291,996,216,997
1485,201,1534,221,1527,240,1477,220
1533,218,1587,242,1579,261,1525,238
1424,191,1475,199,1472,219,1421,211
1050,147,1130,149,1129,171,1049,169
887,167,937,168,936,185,887,184
804,462,875,461,875,484,804,485
877,147,955,149,955,170,877,168
44,390,85,372,93,390,52,408
207,569,248,563,251,582,209,587
1428,155,1482,159,1480,182,1426,177
1269,157,1357,160,1356,182,1269,178
1050,166,1096,168,1095,186,1049,184
561,104,599,106,599,120,560,118
527,104,567,104,567,118,527,119
1081,169,1127,169,1127,186,1081,186
505,440,557,438,558,453,505,455
