18,8,166,6,167,38,18,39
1714,241,1857,318,1840,351,1697,274
222,914,328,915,327,943,221,942
224,952,300,951,300,982,225,983
378,143,442,138,443,160,379,165
443,371,527,372,527,395,442,394
273,196,334,173,349,213,288,237
1398,377,1475,374,1476,395,1399,398
1004,154,1098,153,1098,183,1004,184
793,152,900,153,899,184,793,183
1758,1052,1829,1053,1829,1069,1758,1069
530,158,615,156,616,177,530,178
619,158,705,158,705,177,619,178
1202,160,1294,159,1295,180,1203,181
1296,160,1386,160,1386,178,1296,179
1835,1053,1869,1052,1869,1067,1836,1068
1875,1053,1898,1053,1898,1070,1875,1070
