1656,664,1837,658,1838,685,1657,691
527,155,691,159,690,198,527,194
1297,160,1450,159,1451,198,1297,200
1588,631,1709,628,1710,655,1589,658
1025,164,1208,166,1207,202,1025,200
1718,635,1854,632,1855,658,1719,660
864,165,954,164,954,199,864,200
1079,509,1226,508,1226,532,1079,533
370,996,418,996,418,1018,370,1018
597,122,657,123,657,140,597,139
769,108,830,108,830,138,768,137
766,504,843,505,843,535,766,534
1145,109,1211,109,1211,137,1145,137
1034,111,1138,109,1139,136,1035,138
1589,159,1648,162,1647,181,1587,177
991,508,1078,509,1078,532,991,531
1723,518,1788,519,1788,539,1723,539
854,504,935,505,935,535,854,534
882,109,936,108,937,136,882,138
979,111,1029,109,1030,139,980,141
560,122,600,123,600,138,560,137
370,957,414,957,414,979,371,979
941,110,975,109,976,136,942,137
835,110,888,109,888,136,836,137
946,510,1002,510,1001,534,946,533
494,957,524,957,524,981,494,981
