67,62,379,55,380,96,68,103
858,455,1062,452,1063,485,858,488
840,208,1068,207,1068,254,840,256
212,926,384,930,383,952,211,947
1171,205,1257,207,1256,236,1171,235
620,254,714,252,714,271,620,273
1189,226,1310,224,1311,257,1189,259
61,549,107,520,118,538,72,566
186,895,299,896,299,914,186,913
463,428,539,429,539,448,463,448
470,444,534,445,533,463,469,461
211,965,280,964,280,983,211,984
464,218,559,215,560,240,465,244
1370,429,1450,428,1450,449,1370,450
299,896,359,897,359,914,299,913
1380,443,1442,444,1442,463,1379,462
1806,1061,1903,1064,1902,1089,1805,1086
609,220,741,213,743,247,611,255
74,266,112,257,116,278,79,287
894,258,952,259,952,274,894,272
387,929,427,930,427,947,387,946
290,967,326,967,326,984,290,983
970,259,1021,259,1022,272,970,273
188,931,211,931,211,947,188,947
