1028,505,1137,506,1137,535,1028,534
226,198,307,191,310,232,230,239
390,897,483,898,482,922,390,921
879,508,984,504,985,535,880,538
392,934,558,931,559,959,392,962
423,477,504,477,503,500,423,499
1411,478,1491,476,1491,497,1412,498
744,191,854,183,856,219,746,226
406,965,525,964,525,991,407,993
1077,190,1169,181,1172,217,1081,226
777,508,856,504,858,536,779,540
383,185,467,184,467,211,383,211
1306,182,1360,183,1360,207,1306,206
570,938,619,936,620,959,571,961
674,963,720,962,720,993,675,994
676,935,720,934,720,961,677,962
527,969,579,968,580,991,528,993
