795,1022,1137,1018,1138,1057,796,1061
87,72,328,67,329,111,88,117
209,947,323,949,323,975,209,974
849,83,1110,84,1109,136,848,134
211,992,286,991,286,1013,211,1014
1782,490,1840,491,1840,514,1782,513
274,370,334,370,334,389,274,390
726,73,836,75,836,126,726,125
882,416,1040,417,1040,447,881,446
1114,79,1219,77,1220,134,1115,136
1644,381,1702,383,1702,405,1643,403
1542,19,1609,21,1609,46,1542,44
796,421,871,419,872,445,797,447
831,149,921,150,921,173,830,172
692,33,789,36,788,60,692,58
1032,420,1130,419,1130,443,1032,444
315,17,382,20,381,39,315,36
1034,152,1116,150,1117,171,1034,173
1140,39,1235,38,1235,64,1140,65
601,90,666,92,665,116,600,114
937,39,993,41,993,62,936,61
