93,50,169,44,170,63,94,69
128,913,255,914,255,938,127,937
231,882,422,881,422,902,231,903
1327,29,1407,28,1407,48,1327,49
1095,49,1256,51,1255,80,1094,77
1724,45,1792,50,1790,68,1723,63
1330,81,1406,82,1405,103,1329,102
551,29,630,31,630,50,550,48
706,49,863,51,862,80,706,78
393,53,479,55,479,78,392,76
107,881,198,883,198,906,107,905
1723,75,1799,76,1799,99,1723,98
124,943,244,944,244,967,124,966
1420,54,1506,55,1506,77,1420,76
186,249,224,224,235,241,197,266
1506,51,1574,52,1574,76,1506,75
479,53,545,56,544,79,478,76
1362,114,1399,114,1399,132,1363,133
1157,140,1206,141,1206,156,1157,155
571,79,618,80,617,101,570,100
746,140,798,140,798,155,746,154
929,56,1016,58,1015,77,929,75
264,918,309,917,309,938,264,939
352,915,406,914,406,938,352,940
366,942,405,941,405,967,367,967
256,947,293,947,293,967,256,967
950,140,999,140,999,155,950,155
