776,77,1134,82,1134,146,775,141
892,154,1105,156,1105,195,892,193
378,908,499,909,499,931,378,930
119,371,208,366,209,389,120,393
1642,116,1819,119,1819,156,1642,153
202,463,283,462,283,491,202,492
128,71,264,70,264,117,128,118
153,133,248,134,248,166,153,165
373,949,533,948,533,970,373,971
205,299,276,297,276,315,206,317
1859,60,1918,61,1918,86,1859,85
1420,439,1530,441,1530,462,1420,461
374,438,488,440,487,461,374,459
1554,121,1647,123,1647,152,1554,151
1652,157,1729,161,1728,190,1651,187
808,48,873,47,873,61,809,62
1301,113,1360,112,1360,138,1302,139
894,46,956,45,956,61,894,62
1455,465,1523,465,1523,477,1455,477
1677,458,1727,458,1727,480,1676,480
1475,183,1514,183,1514,203,1476,203
1699,78,1769,78,1768,110,1699,109
796,158,883,159,882,196,796,195
539,112,594,112,594,138,539,137
403,461,479,462,479,475,403,474
536,151,604,153,604,165,536,163
1038,45,1092,46,1092,61,1038,60
470,196,506,195,506,209,471,209
1471,161,1518,160,1519,178,1471,178
371,174,409,173,409,192,372,193
996,47,1038,47,1038,61,996,60
369,160,407,159,407,176,370,178
628,196,664,197,664,211,628,210
690,943,732,944,731,973,689,971
959,46,994,47,994,61,958,60
375,462,414,464,414,476,375,475
1426,465,1462,466,1462,478,1426,477
